id,lat,lon
83065,30.246557,-98.065587
83066,30.246557,-98.065587
121417,30.229793,-97.897387
121418,30.229793,-97.897387
122131,30.5106,-97.755051
122132,30.5106,-97.755051
87765,30.227226,-97.896843
87766,30.227226,-97.896843
89377,30.108256,-97.293748
89378,30.108256,-97.293748
30689,30.283449,-97.723167
30690,30.283449,-97.723167
121359,30.266911,-97.722213
121360,30.266911,-97.722213
91101,30.254564,-97.771646
91102,30.254564,-97.771646
22651,30.141854,-97.850234
22652,30.141854,-97.850234
102762,30.291163,-97.712797
102763,30.291163,-97.712797
124599,30.086713,-97.838021
124600,30.086713,-97.838021
100405,30.356869,-97.710074
100406,30.356869,-97.710074
102148,30.225343,-97.876843
102149,30.225343,-97.876843
94865,30.214636,-98.083311
94866,30.214636,-98.083311
133822,30.285675,-97.72175
133823,30.285675,-97.72175
138056,30.300396,-97.728451
138057,30.300396,-97.728451
124923,30.364373,-97.997936
124924,30.364373,-97.997936
96937,30.250136,-97.720636
96938,30.250136,-97.720636
93421,30.347759,-97.378503
93422,30.347759,-97.378503
96149,30.231272,-97.874474
96150,30.231272,-97.874474
134442,30.458267,-97.809295
134443,30.458267,-97.809295
85155,30.416731,-97.79006
85156,30.416731,-97.79006
89801,30.304798,-97.671274
89802,30.304798,-97.671274
49065,30.245905,-97.733196
49066,30.245905,-97.733196
91067,30.390286,-97.802404
91068,30.390286,-97.802404
3011,30.327552,-97.735262
3012,30.327552,-97.735262
16267,30.320859,-97.724584
16268,30.320859,-97.724584
75105,30.439282,-97.766843
75106,30.439282,-97.766843
26805,30.291647,-97.730764
26806,30.291647,-97.730764
96211,30.666509,-97.734576
96212,30.666509,-97.734576
39123,30.45558,-97.991997
39124,30.45558,-97.991997
94391,29.866042,-97.666016
94392,29.866042,-97.666016
2796,30.276872,-97.837307
2797,30.276872,-97.837307
2862,30.366156,-97.765288
2863,30.366156,-97.765288
110626,30.255966,-97.835956
110627,30.255966,-97.835956
131835,30.292304,-97.697087
131836,30.292304,-97.697087
121415,30.279256,-97.673866
121416,30.279256,-97.673866
135084,30.31899,-97.717978
135085,30.31899,-97.717978
76047,30.177912,-97.789818
76048,30.177912,-97.789818
85175,30.586253,-97.770363
85176,30.586253,-97.770363
125453,30.289094,-97.735891
125454,30.289094,-97.735891
125537,30.288798,-97.735308
125538,30.288798,-97.735308
27519,30.28559,-97.736931
27520,30.28559,-97.736931
27539,30.279041,-97.725929
27540,30.279041,-97.725929
27573,30.277252,-97.733324
27574,30.277252,-97.733324
27547,30.283525,-97.734657
27548,30.283525,-97.734657
27571,30.286664,-97.740014
27572,30.286664,-97.740014
27455,30.285181,-97.734983
27456,30.285181,-97.734983
27463,30.287293,-97.733449
27464,30.287293,-97.733449
27511,30.285022,-97.741655
27512,30.285022,-97.741655
27569,30.282121,-97.726869
27570,30.282121,-97.726869
27491,30.285305,-97.728241
27492,30.285305,-97.728241
27395,30.285069,-97.732877
27396,30.285069,-97.732877
27485,30.290632,-97.740244
27486,30.290632,-97.740244
27183,30.287216,-97.736966
27184,30.287216,-97.736966
27567,30.28941,-97.736607
27568,30.28941,-97.736607
102426,30.442483,-97.628923
102427,30.442483,-97.628923
34435,30.40969,-97.698944
34436,30.40969,-97.698944
21483,30.572352,-97.948247
21484,30.572352,-97.948247
91527,30.355006,-98.018365
91528,30.355006,-98.018365
93107,30.513874,-97.666729
93108,30.513874,-97.666729
90377,29.862411,-97.930293
90378,29.862411,-97.930293
121049,30.258798,-97.735211
121050,30.258798,-97.735211
33213,30.668488,-98.075564
33214,30.668488,-98.075564
114061,30.344899,-97.708557
114062,30.344899,-97.708557
110162,30.444476,-97.76107
110163,30.444476,-97.76107
9912,29.878283,-98.147138
9913,29.878283,-98.147138
109516,30.297997,-97.692342
109517,30.297997,-97.692342
123175,30.255951,-97.835779
123176,30.255951,-97.835779
61035,29.896084,-97.937937
61036,29.896084,-97.937937
135100,30.292588,-97.709314
135101,30.292588,-97.709314
65197,30.261005,-97.770814
65198,30.261005,-97.770814
52617,30.258937,-97.764749
52618,30.258937,-97.764749
